"","Organism Group","Life Stage","Species","Estimated Maximum Ingestible Size (mm)","Level of Biological Organization","Exposure Route","Environment","Acute/Chronic","Exposure Duration (days)","translocatable","Effect Score","Effect Metric","Broad Endpoint Category","Specific Endpoint Category","Empirical Tissue Translocation ERM Conc. (log 10 particles/mL; 1-5,000 um)","Empirical Food Dilution ERM Conc. (log 10 particles/mL; 1-5,000 um)","PA_fraction","PE_fraction","PET_fraction","PLA_fraction","PMMA_fraction","PP_fraction","PS_fraction","PUR_fraction","PVC_fraction","fiber_fraction","fragment_fraction","sphere_fraction"
"606","Crustacea","Early","Paracyclopina nana",0.168691080099539,"organism","water","Marine","Acute",7,"translocatable",4,"NOEC","Fitness","Reproduction",4.86634326675287,4.29581656408061,0,0,0,0,0,0,1,0,0,0,0,1
"607","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"not_available","Fitness","Reproduction",0.825196813216299,-1.42092752555315,0,0,0,0,0,0,1,0,0,0,0,1
"608","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"LOEC","Metabolism","Oxidative Stress",-0.152815033207773,-2.39893937197722,0,0,0,0,0,0,1,0,0,0,0,1
"609","Rotifera","Early","Brachionus plicatilis",0.0547861879401367,"organism","water","Marine","Acute",2,"translocatable",6,"not_available","Fitness","Mortality",4.00151230888174,3.33938556232245,0,1,0,0,0,0,0,0,0,0,1,0
"610","Crustacea","Early","Ceriodaphnia dubia",0.03567,"organism","water","Freshwater","Acute",8,"non-translocatable",3,"not_available","Fitness","Growth",2.13335608858481,2.81257099543027,0,0,1,0,0,0,0,0,0,1,0,0
"611","Crustacea","Early","Daphnia magna",0.11487,"organism","water","Freshwater","Chronic",21,"translocatable",4,"not_available","Fitness","Reproduction",4.44552043527663,3.29938611169225,0,1,0,0,0,0,0,0,0,0,1,0
"612","Fish","Adult","Oryzias melastigma",2.76939075388703,"subcell","water","Marine","Chronic",60,"translocatable",1,"LOEC","Fitness","Sex Hormones",1.78455794103142,-0.461566397738024,0,0,0,0,0,0,1,0,0,0,0,1
"613","Crustacea","Early","Ceriodaphnia dubia",0.03567,"organism","water","Freshwater","Acute",2,"non-translocatable",6,"not_available","Fitness","Mortality",2.13335608858481,2.81257099543027,0,0,1,0,0,0,0,0,0,1,0,0
"614","Mollusca","Early","Crassostrea gigas",9.51890176843551,"organism","water","Marine","Acute",1,"translocatable",2,"NOEC","Behavioral, Sensory, Neurological","Feeding",3.16751685470629,0.562470841416223,0,0,0,0,0,0,1,0,0,0,0,1
"615","Fish","Early","Danio rerio",0.4,"subcell","water","Freshwater","Acute",20,"translocatable",1,"NOEC","Metabolism","Oxidative Stress",5.55476334906748,3.90450562523854,0,1,0,0,0,0,0,0,0,0,1,0
